Movie Title,Release Year,Storyline,Movie Genre,Movie Duration,IMDb Movie Rating,Movie Certification,IMDb Users Votes
Citizen Kane,1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Drama, Mystery",1h 59m,8.3/10,UA,440K
M - Eine Stadt sucht einen Mörder,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime, Mystery, Thriller",1h 57m,8.3/10,Passed,157K
North by Northwest,1959,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action, Adventure, Mystery",2h 16m,8.3/10,U,326K
Idi i smotri,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama, Thriller, War",2h 22m,8.4/10,A,78K
Vertigo,1958,,"Mystery, Romance, Thriller",2h 8m,8.3/10,A,400K
Le fabuleux destin d'Amélie Poulain,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Comedy, Romance",2h 2m,8.3/10,U,751K
A Clockwork Orange,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime, Sci-Fi",2h 16m,8.3/10,A,822K
Double Indemnity,1944,,"Crime, Drama, Film-Noir",1h 47m,8.3/10,Passed,157K
Full Metal Jacket,1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama, War",1h 56m,8.3/10,UA,736K
The Apartment,1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Comedy, Drama, Romance",2h 5m,8.3/10,U,181K
Ikiru,1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,2h 23m,8.3/10,U,78K
Scarface,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime, Drama",2h 50m,8.3/10,A,829K
The Sting,1973,Two grifters team up to pull off the ultimate con.,"Comedy, Crime, Drama",2h 9m,8.3/10,U,261K
To Kill a Mockingbird,1962,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.","Crime, Drama",2h 9m,8.3/10,U,315K
Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime, Drama",1h 54m,8.2/10,A,818K
Heat,1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Action, Crime, Drama",2h 50m,8.3/10,A,648K
Up,2009,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation, Adventure, Comedy",1h 36m,8.3/10,U,1M
L.A. Confidential,1997,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime, Drama, Mystery",2h 18m,8.2/10,A,579K
